Polluted element,Type of pollution,Georgia_Albany_2022,Georgia_Lenox_2022,Georgia_Washington_2022,Massachusetts_Boston_2018,Massachusetts_Cambridge_2018,Massachusetts_Columbus_2018
Average,,18.14,-39.58,-3.82,2.25,8.78,9.40
,  ,18.14,-39.58,-3.82,2.25,8.78,9.40
Air,,-12.63,-23.31,-15.64,8.30,18.99,-20.69
,  Chemical,72.56,-23.12,-15.73,-86.27,18.39,23.14
,  Noise,-54.31,-86.74,-10.29,57.82,25.23,-36.10
,  Oxygen-depletion,-56.13,39.93,-20.90,53.34,13.36,-49.11
Soil,,27.37,-48.23,1.54,9.61,13.60,26.89
,  Inferior Irrigation,69.67,37.30,45.11,52.33,13.59,-41.91
,  Light,74.46,-88.89,-14.47,-73.04,17.76,40.11
,  Surface water,-62.03,-93.09,-26.03,49.55,9.44,82.46
Water,,39.68,-47.19,2.65,-11.17,-6.26,22.00
,  Groundwater,40.85,-90.51,-25.59,50.65,11.31,84.03
,  Industrial,2.86,39.90,47.39,-11.97,-49.09,23.51
,  Thermal,75.31,-90.97,-13.85,-72.19,19.01,-41.55
