Characteristic,Intensity,2018_Massachusetts_Lenox,2018_Massachusetts_Reno,2018_Massachusetts_Rochester,2019_Minnesota_Las Vegas,2019_Minnesota_Minneapolis,2021_Nevada_Boulder City,2021_Nevada_Cambridge,2021_Nevada_Hastings
Humidity,,8.71,27.53,20.00,21.54,17.63,13.25,18.12,23.48
,  31-40,8.71,6.93,20.00,21.01,17.63,13.25,18.12,23.48
,  Breeze,3.40,21.41,18.43,21.54,14.35,8.01,10.82,21.80
,  High,6.83,27.53,6.46,18.97,16.82,12.89,14.49,2.15
Temperature,,10.31,7.75,20.67,27.62,17.06,13.44,19.89,24.86
,  11-20,10.31,7.75,20.67,27.62,17.06,13.44,19.89,24.86
,  Calm,2.99,5.75,6.20,20.13,15.92,9.71,11.10,2.89
,  Low,7.50,6.02,7.79,25.76,3.50,12.82,16.68,22.40
Wind,,8.43,27.66,20.14,26.24,15.37,12.19,16.58,23.88
,  21-30,8.43,27.66,20.14,26.24,4.20,12.19,16.58,23.88
,  Medium,5.76,25.46,19.03,16.94,15.37,12.17,10.37,21.83
,  Storm,2.45,24.31,5.47,19.43,14.58,8.28,11.73,20.24
