Quarter,Month,Residential_Administration,Residential_House,Service_Hotel,Service_School
Minimum,,28.04,82.04,46.34,1.60
,  ,28.04,82.04,46.34,1.60
Q1,,28.04,82.04,46.34,1.60
,  December,37.85,87.63,63.74,15.49
,  June,42.02,95.50,73.07,22.71
,  March,28.04,82.04,46.34,1.60
Q2,,33.78,87.17,58.30,6.93
,  January,33.78,87.17,58.30,6.93
,  March,42.20,99.65,76.50,28.61
,  November,40.31,93.91,64.57,21.78
Q4,,32.35,86.73,49.61,5.70
,  February,32.35,86.73,49.61,5.70
,  May,43.14,98.22,75.58,26.92
,  October,38.40,90.87,64.14,19.45
