Characteristic,Intensity,2015_Minnesota_Columbia,2015_Minnesota_Minneapolis,2017_Maryland_Albany,2017_Maryland_Hastings,2018_Georgia_Aberdeen,2018_Georgia_Washington
Maximum,,16.72,23.24,12.48,25.01,24.13,4.87
,  ,16.72,23.24,12.48,25.01,24.13,4.87
Humidity,,16.72,23.24,11.68,25.01,21.15,4.36
,  11-20,16.72,16.08,11.68,22.35,17.67,4.36
,  High,13.09,23.24,6.18,24.64,19.43,0.59
,  Low,13.20,11.31,9.97,25.01,21.15,3.07
Temperature,,14.56,21.45,12.48,24.18,24.13,4.87
,  0-10,13.34,14.43,10.10,21.10,22.54,4.87
,  High,14.56,21.45,12.48,4.26,24.13,4.57
,  Medium,13.94,11.38,8.97,24.18,14.11,0.38
