Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2016,Q2,Drowning,Serious,67.21
Female,2016,Q2,Traffic,Slight,67.1
Female,2020,Q1,Drowning,Serious,37.49
Female,2020,Q1,Traffic,Slight,35.55
Female,2022,Q2,Drowning,Serious,13.26
Female,2022,Q2,Traffic,Slight,45.73
Female,2016,Q1,Drowning,Serious,16.84
Female,2016,Q1,Traffic,Slight,49.86
Female,2020,Q2,Drowning,Serious,20.33
Female,2020,Q2,Traffic,Slight,61.5
Female,2022,Q1,Drowning,Serious,94.04
Female,2022,Q1,Traffic,Slight,95.55
