Quarter,Month,Culture_Concert,Culture_Library,Residential_Administration,Residential_Apartment,Service_Hotel,Service_Museum,State,City
Minimum,,87.40,20.50,41.28,1.69,9.81,55.26,,
,  ,87.40,20.50,41.28,1.69,9.81,55.26,,
Q2,,95.60,20.56,49.86,3.09,13.57,62.85,,
,  April,99.14,32.62,50.03,9.59,17.52,86.43,Michigan,Detroit
,  December,95.60,20.56,49.86,3.09,13.57,62.85,Michigan,Flint
Q3,,87.40,20.50,41.28,1.69,9.81,55.26,,
,  July,87.40,20.50,41.28,1.69,9.81,55.26,Michigan,Flint
,  October,96.58,28.01,50.40,8.90,13.22,62.92,Michigan,Detroit
Q4,,90.53,21.91,47.19,2.93,12.26,59.66,,
,  August,90.53,21.91,47.19,2.93,12.26,59.66,Michigan,Detroit
,  May,97.76,32.10,51.87,9.32,16.75,67.43,Michigan,Flint
