Characteristic,Intensity,2017_California_Champaign,2017_California_Los-Angeles,2017_California_Washington,2020_Georgia_Berkeley,2020_Georgia_Chicago,2020_Georgia_Columbus,2022_Illinois_Albany,2022_Illinois_San Francisco,2022_Illinois_Springfield,Maximum
Humidity,Calm,19.69,14.21,17.02,27.79,7.59,8.10,26.39,25.14,7.21,27.79
,High,15.05,12.29,9.87,25.06,2.05,3.53,22.44,19.68,12.53,25.06
,Storm,10.52,9.00,5.40,24.24,6.01,2.53,20.32,16.08,6.10,24.24
Temperature,31-40,16.34,13.71,15.17,26.69,0.66,6.88,16.47,22.90,3.96,26.69
,Medium,1.95,9.39,12.77,25.70,7.76,3.65,21.34,4.11,10.31,25.70
,Storm,19.94,16.67,18.69,7.18,8.34,9.29,25.60,5.00,3.39,25.60
Wind,0-10,17.49,14.57,16.36,27.45,0.67,6.78,25.80,24.21,1.14,27.45
,Calm,8.70,8.14,8.11,20.75,4.76,1.09,17.53,16.60,7.06,20.75
,Low,13.41,10.39,4.27,24.78,9.62,4.62,22.39,5.86,12.78,24.78
Maximum,,19.94,16.67,18.69,27.79,9.62,9.29,26.39,25.14,12.78,27.79
