Polluted element,Type of pollution,California_Las Vegas,California_Minneapolis,Minnesota_Hastings,Minnesota_Reno,Minnesota_San Francisco,Nevada_Berkeley,Nevada_Boulder City
Average,,-76.95,42.11,12.90,-22.39,-71.81,71.09,-45.82
,  ,-76.95,42.11,12.90,-22.39,-71.81,71.09,-45.82
Air,,-80.65,40.32,12.01,-24.89,-69.11,68.81,-44.46
,  Industrial,-87.36,37.74,8.63,-30.98,-97.46,60.66,-52.89
,  Inferior Irrigation,-77.76,41.78,11.02,-28.47,-93.96,65.54,-49.45
,  Noise,-76.49,42.21,13.52,-22.62,4.36,70.03,-32.02
,  Oxygen-depletion,-80.98,39.56,14.86,-17.49,-89.38,79.02,-43.49
Soil,,-76.39,41.74,13.42,-22.12,-67.19,71.31,-47.20
,  Groundwater,-72.37,45.11,18.86,-16.87,-88.68,82.66,-40.09
,  Inorganic Fertilizers,-76.29,40.91,12.26,-21.47,-91.85,68.70,-48.84
,  Thermal,-71.37,42.52,14.19,-20.38,6.99,72.61,-46.09
,  Urban Activities,-85.54,38.43,8.38,-29.77,-95.24,61.28,-53.77
Water,,-73.80,44.27,13.27,-20.17,-79.12,73.14,-45.79
,  Chemical,-78.33,38.32,7.37,-18.51,-90.16,72.67,-47.59
,  Light,-68.69,46.00,19.59,-17.87,-44.19,75.03,-45.42
,  Solid Waste,-78.83,40.81,7.11,-28.06,-94.24,62.20,-50.01
,  Surface water,-69.35,51.97,19.01,-16.25,-87.91,82.65,-40.15
