Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Temperature,0-10,0.63
2016,Humidity,21-30,1.88
2016,Wind,11-20,2.16
2016,Temperature,Medium,3.96
2016,Humidity,High,5.51
2016,Wind,Storm,8.49
2016,Temperature,Breeze,8.73
2016,Humidity,Calm,10.68
2016,Wind,0-10,11.72
2020,Temperature,0-10,13.66
2020,Humidity,21-30,16.23
2020,Wind,11-20,16.84
2020,Temperature,Medium,18.06
2020,Humidity,High,18.28
2020,Wind,Storm,21.44
2020,Temperature,Breeze,22.68
2020,Humidity,Calm,25.0
2020,Wind,0-10,26.08
