Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Temperature,11-20,0.38
2022,Wind,21-30,1.33
2022,Temperature,31-40,0.94
2022,Wind,Calm,3.89
2022,Temperature,Breeze,4.41
2022,Wind,Storm,9.89
2018,Temperature,11-20,9.39
2018,Wind,21-30,11.01
2018,Temperature,31-40,11.77
2018,Wind,Calm,19.12
2018,Temperature,Breeze,20.33
2018,Wind,Storm,21.93
2020,Temperature,11-20,21.78
2020,Wind,21-30,22.5
2020,Temperature,31-40,24.91
2020,Wind,Calm,24.71
2020,Temperature,Breeze,21.48
2020,Wind,Storm,25.6
