Quarter,Month,Culture_Concert,Culture_House,Culture_School,Residential_Hotel,Residential_Library,Residential_Museum,Service_Administration,Service_Apartment,Service_Theatre,State,City
Minimum,,1.17,29.92,60.87,40.31,65.58,3.13,82.88,55.82,4.38,,
,  ,1.17,29.92,60.87,40.31,65.58,3.13,82.88,55.82,4.38,,
Q3,,1.17,29.92,60.87,40.31,65.58,6.85,83.74,55.82,4.38,,
,  July,1.17,29.92,60.87,40.31,65.58,6.85,83.74,55.82,4.38,Nevada,Boulder City
,  October,5.23,37.12,63.58,51.73,80.14,11.11,96.15,57.24,20.80,Nevada,Boulder City
,  September,3.73,34.68,63.31,48.37,72.76,7.25,84.99,57.14,54.98,Nevada,Minneapolis
Q4,,1.52,30.45,62.39,47.67,70.26,3.13,82.88,56.26,15.24,,
,  August,1.52,30.45,62.39,47.67,70.26,3.13,82.88,56.26,15.24,Minnesota,Reno
,  December,4.29,36.37,63.01,49.89,78.21,10.21,94.59,57.01,17.96,Minnesota,Hastings
,  July,6.34,37.07,66.16,54.89,82.54,11.01,99.50,60.18,23.61,Minnesota,Reno
