Polluted element,Type of pollution,Massachusetts_Boston_2021,Massachusetts_Cambridge_2021,Massachusetts_Salem_2021,Oregon_Lenox_2019,Oregon_Portland_2019
Air,,18.93,13.42,27.22,-47.04,1.38
,  Groundwater,59.70,11.72,-13.39,-91.33,-41.37
,  Industrial,74.03,23.68,-3.66,-83.84,93.92
,  Inorganic Fertilizers,-76.93,4.85,98.72,34.05,-48.40
Soil,,54.03,7.55,-22.61,-50.93,38.42
,  Industrial,46.10,1.93,-33.71,26.85,74.86
,  Light,60.19,15.55,-12.55,-85.41,-41.79
,  Surface water,55.79,5.18,-21.57,-94.24,82.19
Water,,13.91,9.59,23.84,-48.75,0.11
,  Chemical,57.50,5.81,-17.81,37.87,-43.59
,  Solid Waste,-83.02,2.00,96.15,-99.45,-48.76
,  Thermal,67.25,20.96,-6.81,-84.67,92.68
