State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Michigan,Port Huron,Water,Chemical,1.34
Michigan,Port Huron,Air,Groundwater,6.38
Michigan,Port Huron,Soil,Surface water,6.19
Michigan,Port Huron,Water,Oxygen-depletion,8.96
Michigan,Port Huron,Air,Light,7.8
Michigan,Port Huron,Soil,Thermal,9.59
Michigan,Port Huron,Water,Noise,12.52
Michigan,Port Huron,Air,Inorganic Fertilizers,16.59
Michigan,Port Huron,Soil,Industrial,18.71
Michigan,Port Huron,Water,Inferior Irrigation,20.51
Michigan,Port Huron,Air,Chemical,23.36
Michigan,Port Huron,Soil,Groundwater,24.21
Massachusetts,Detroit,Water,Chemical,-98.16
Massachusetts,Detroit,Air,Groundwater,-95.85
Massachusetts,Detroit,Soil,Surface water,34.63
Massachusetts,Detroit,Water,Oxygen-depletion,-91.03
Massachusetts,Detroit,Air,Light,-90.33
Massachusetts,Detroit,Soil,Thermal,-90.4
Massachusetts,Detroit,Water,Noise,-87.14
Massachusetts,Detroit,Air,Inorganic Fertilizers,-86.93
Massachusetts,Detroit,Soil,Industrial,-84.19
Massachusetts,Detroit,Water,Inferior Irrigation,47.49
Massachusetts,Detroit,Air,Chemical,48.62
Massachusetts,Detroit,Soil,Groundwater,49.66
Michigan,Boston,Water,Chemical,-78.14
Michigan,Boston,Air,Groundwater,49.16
Michigan,Boston,Soil,Surface water,47.05
Michigan,Boston,Water,Oxygen-depletion,55.5
Michigan,Boston,Air,Light,56.08
Michigan,Boston,Soil,Thermal,-71.85
Michigan,Boston,Water,Noise,-68.85
Michigan,Boston,Air,Inorganic Fertilizers,67.62
Michigan,Boston,Soil,Industrial,-60.45
Michigan,Boston,Water,Inferior Irrigation,-52.01
Michigan,Boston,Air,Chemical,-51.23
Michigan,Boston,Soil,Groundwater,77.23
Massachusetts,Cambridge,Water,Chemical,77.42
Massachusetts,Cambridge,Air,Groundwater,81.41
Massachusetts,Cambridge,Soil,Surface water,84.48
Massachusetts,Cambridge,Water,Oxygen-depletion,-43.63
Massachusetts,Cambridge,Air,Light,95.56
Massachusetts,Cambridge,Soil,Thermal,95.86
Massachusetts,Cambridge,Water,Noise,95.13
Massachusetts,Cambridge,Air,Inorganic Fertilizers,96.67
Massachusetts,Cambridge,Soil,Industrial,-18.36
Massachusetts,Cambridge,Water,Inferior Irrigation,-11.85
Massachusetts,Cambridge,Air,Chemical,-9.44
Massachusetts,Cambridge,Soil,Groundwater,-5.62
