Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q4,October,0.43
Residential,Apartment,Q1,December,5.59
Residential,Apartment,Q4,November,8.54
Residential,Apartment,Q1,February,12.2
Residential,Apartment,Q4,March,14.76
Residential,Apartment,Q1,October,17.84
Production,House,Q4,October,23.73
Production,House,Q1,December,28.63
Production,House,Q4,November,33.66
Production,House,Q1,February,34.06
Production,House,Q4,March,34.08
Production,House,Q1,October,34.84
Residential,Factory,Q4,October,48.44
Residential,Factory,Q1,December,51.76
Residential,Factory,Q4,November,54.53
Residential,Factory,Q1,February,55.33
Residential,Factory,Q4,March,56.57
Residential,Factory,Q1,October,71.39
Production,Workshop,Q4,October,79.85
Production,Workshop,Q1,December,81.87
Production,Workshop,Q4,November,86.41
Production,Workshop,Q1,February,94.44
Production,Workshop,Q4,March,97.89
Production,Workshop,Q1,October,99.89
