Characteristic,Intensity,2020_Massachusetts_Baltimore,2020_Massachusetts_Cambridge,2020_Massachusetts_Columbia,2021_Maryland_Aberdeen,2021_Maryland_Lenox,Maximum
Humidity,,26.45,4.22,14.95,20.98,11.16,26.45
,  21-30,26.45,0.69,14.95,20.98,8.39,26.45
,  High,11.55,4.22,14.43,20.79,11.16,20.79
,  Low,26.38,1.64,9.45,16.91,10.95,26.38
Temperature,,25.76,4.16,15.66,23.47,9.77,25.76
,  11-20,25.20,0.27,15.66,20.09,9.77,25.20
,  31-40,25.15,0.58,13.86,17.34,5.54,25.15
,  Medium,25.76,4.16,10.92,23.47,8.51,25.76
Maximum,,26.45,4.22,15.66,23.47,11.16,26.45
,  ,26.45,4.22,15.66,23.47,11.16,26.45
