Quarter,Month,Production_Administration,Production_Factory,Service_Hospital,Service_Library,Service_Workshop,State,City
Q1,,23.34,54.99,43.52,13.43,83.02,,
,  April,32.84,72.70,50.39,22.48,96.58,Georgia,Albany
,  January,27.79,59.47,48.94,14.57,89.96,Michigan,Columbus
,  October,23.34,54.99,43.52,13.43,83.02,Georgia,Flint
Q2,,21.68,52.72,35.83,3.53,74.66,,
,  February,29.33,61.53,49.32,18.77,90.42,Georgia,Flint
,  June,21.68,52.72,35.83,3.53,74.66,Georgia,Albany
,  November,25.59,54.18,44.59,14.56,86.56,Michigan,Detroit
Q4,,24.61,50.31,41.48,4.05,82.23,,
,  April,24.61,53.21,41.48,4.05,82.23,Michigan,Columbus
,  June,32.19,66.80,49.08,21.05,94.63,Michigan,Detroit
,  March,27.93,50.31,44.80,15.54,86.11,Georgia,Albany
Minimum,,21.68,50.31,35.83,3.53,74.66,,
,  ,21.68,50.31,35.83,3.53,74.66,,
