Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,House,Q3,August,Minnesota,Minneapolis,3.99
Residential,House,Q4,September,Florida,Rochester,5.89
Residential,House,Q3,November,Minnesota,Tampa,5.46
Residential,House,Q4,December,Florida,Minneapolis,19.6
Culture,Hotel,Q3,August,Minnesota,Minneapolis,22.28
Culture,Hotel,Q4,September,Florida,Rochester,26.55
Culture,Hotel,Q3,November,Minnesota,Tampa,29.13
Culture,Hotel,Q4,December,Florida,Minneapolis,39.09
Service,Apartment,Q3,August,Minnesota,Minneapolis,40.24
Service,Apartment,Q4,September,Florida,Rochester,40.3
Service,Apartment,Q3,November,Minnesota,Tampa,42.66
Service,Apartment,Q4,December,Florida,Minneapolis,42.47
Residential,Theatre,Q3,August,Minnesota,Minneapolis,48.5
Residential,Theatre,Q4,September,Florida,Rochester,49.39
Residential,Theatre,Q3,November,Minnesota,Tampa,54.25
Residential,Theatre,Q4,December,Florida,Minneapolis,55.48
Culture,Concert,Q3,August,Minnesota,Minneapolis,58.3
Culture,Concert,Q4,September,Florida,Rochester,60.77
Culture,Concert,Q3,November,Minnesota,Tampa,61.83
Culture,Concert,Q4,December,Florida,Minneapolis,63.49
Service,Museum,Q3,August,Minnesota,Minneapolis,69.49
Service,Museum,Q4,September,Florida,Rochester,69.75
Service,Museum,Q3,November,Minnesota,Tampa,76.21
Service,Museum,Q4,December,Florida,Minneapolis,77.53
Residential,School,Q3,August,Minnesota,Minneapolis,80.51
Residential,School,Q4,September,Florida,Rochester,84.33
Residential,School,Q3,November,Minnesota,Tampa,85.55
Residential,School,Q4,December,Florida,Minneapolis,85.22
Culture,Hospital,Q3,August,Minnesota,Minneapolis,86.15
Culture,Hospital,Q4,September,Florida,Rochester,88.3
Culture,Hospital,Q3,November,Minnesota,Tampa,89.51
Culture,Hospital,Q4,December,Florida,Minneapolis,95.83
Service,Library,Q3,August,Minnesota,Minneapolis,96.35
Service,Library,Q4,September,Florida,Rochester,96.72
Service,Library,Q3,November,Minnesota,Tampa,97.21
Service,Library,Q4,December,Florida,Minneapolis,96.12
