Polluted element,Type of pollution,Illinois_Boston,Illinois_Las Vegas,Illinois_Springfield,Massachusetts_Cambridge,Massachusetts_Champaign,Nevada_Boulder City,Nevada_Chicago,Nevada_Lenox,Average
Soil,,-36.58,83.31,11.33,-60.81,48.12,-81.14,26.80,-11.17,-2.52
,  Chemical,-35.79,86.45,12.07,-55.92,50.53,-77.93,29.80,-10.12,-0.11
,  Groundwater,-28.58,95.45,18.03,-51.77,59.57,-74.17,33.43,-7.32,5.58
,  Inferior Irrigation,-36.98,84.30,13.98,-61.03,48.67,-78.00,27.82,-14.30,-1.94
,  Solid Waste,-38.90,78.29,11.30,-65.71,43.24,-82.89,24.01,-18.42,-6.13
,  Urban Activities,-42.63,72.04,1.26,-69.61,38.61,-92.70,18.93,-5.68,-9.97
Water,,-34.75,48.61,12.84,-57.62,50.08,-80.27,28.51,-13.58,-5.77
,  Industrial,-42.80,78.57,3.35,-66.94,42.70,-92.43,21.06,-24.04,-10.07
,  Inorganic Fertilizers,-37.34,81.33,11.03,-63.63,45.60,-81.09,25.00,-17.51,-4.58
,  Oxygen-depletion,-35.57,84.29,13.40,-55.96,50.43,-77.43,28.48,-12.83,-0.65
,  Surface water,-29.69,93.73,16.98,-52.93,50.07,-77.71,31.37,-8.37,2.93
,  Urban Activities,-28.37,-94.88,19.43,-48.62,61.62,-72.67,36.65,-5.15,-16.50
