Quarter,Month,State,City,Culture_Factory,Culture_Museum,Culture_School,Production_Theatre,Production_Workshop,Service_Administration,Service_Concert
Q1,August,Illinois,Champaign,51.17,4.61,84.05,17.74,61.21,73.09,32.46
,February,Michigan,Port Huron,42.82,1.86,80.54,13.78,59.96,71.04,28.86
,May,Michigan,Port Huron,54.76,11.48,79.86,21.87,66.70,78.73,35.90
Q2,April,Illinois,Champaign,52.72,10.95,82.74,20.27,65.60,76.41,32.40
,March,Michigan,Port Huron,58.99,13.89,94.59,26.65,69.08,80.34,40.33
,September,Michigan,Port Huron,50.16,3.63,83.39,16.88,61.22,73.59,30.20
Q3,February,Illinois,Champaign,56.42,12.30,89.36,22.87,67.04,78.40,37.09
,July,Michigan,Port Huron,52.34,5.17,83.35,17.06,64.36,76.00,33.21
,March,Illinois,Champaign,47.35,1.67,80.27,15.26,59.63,72.83,28.73
Minimum,,,,42.82,1.67,79.86,13.78,59.63,71.04,28.73
