Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Temperature,21-30,5.63
2018,Wind,31-40,7.17
2018,Humidity,11-20,8.1
2018,Temperature,Storm,9.55
2018,Wind,Breeze,11.28
2018,Humidity,Calm,12.81
2018,Temperature,Medium,13.25
2018,Wind,High,13.87
2018,Humidity,Low,15.7
2017,Temperature,21-30,15.97
2017,Wind,31-40,17.49
2017,Humidity,11-20,17.56
2017,Temperature,Storm,15.19
2017,Wind,Breeze,20.44
2017,Humidity,Calm,14.29
2017,Temperature,Medium,22.98
2017,Wind,High,16.54
2017,Humidity,Low,24.18
2016,Temperature,21-30,25.21
2016,Wind,31-40,17.65
2016,Humidity,11-20,27.41
2016,Temperature,Storm,24.23
2016,Wind,Breeze,22.66
2016,Humidity,Calm,25.93
2016,Temperature,Medium,11.24
2016,Wind,High,14.81
2016,Humidity,Low,15.45
