Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Museum,Q1,January,0.43
Culture,Museum,Q4,March,1.47
Culture,Museum,Q2,February,6.25
Culture,Museum,Q1,October,7.07
Culture,Museum,Q4,November,8.23
Culture,Museum,Q2,April,9.98
Culture,Museum,Q1,May,10.56
Culture,Museum,Q4,June,8.41
Culture,Museum,Q2,January,12.07
Residential,Concert,Q1,January,13.71
Residential,Concert,Q4,March,14.13
Residential,Concert,Q2,February,14.49
Residential,Concert,Q1,October,16.41
Residential,Concert,Q4,November,17.95
Residential,Concert,Q2,April,18.16
Residential,Concert,Q1,May,18.83
Residential,Concert,Q4,June,18.58
Residential,Concert,Q2,January,20.31
Service,Hotel,Q1,January,22.63
Service,Hotel,Q4,March,22.17
Service,Hotel,Q2,February,22.37
Service,Hotel,Q1,October,25.74
Service,Hotel,Q4,November,28.76
Service,Hotel,Q2,April,28.17
Service,Hotel,Q1,May,37.2
Service,Hotel,Q4,June,38.05
Service,Hotel,Q2,January,38.47
Culture,Apartment,Q1,January,42.47
Culture,Apartment,Q4,March,45.89
Culture,Apartment,Q2,February,46.08
Culture,Apartment,Q1,October,47.19
Culture,Apartment,Q4,November,47.76
Culture,Apartment,Q2,April,50.02
Culture,Apartment,Q1,May,52.71
Culture,Apartment,Q4,June,53.61
Culture,Apartment,Q2,January,54.07
Residential,Administration,Q1,January,54.43
Residential,Administration,Q4,March,56.67
Residential,Administration,Q2,February,60.45
Residential,Administration,Q1,October,61.89
Residential,Administration,Q4,November,62.89
Residential,Administration,Q2,April,61.68
Residential,Administration,Q1,May,64.61
Residential,Administration,Q4,June,68.36
Residential,Administration,Q2,January,69.28
Service,Hospital,Q1,January,69.37
Service,Hospital,Q4,March,68.08
Service,Hospital,Q2,February,70.23
Service,Hospital,Q1,October,73.2
Service,Hospital,Q4,November,70.09
Service,Hospital,Q2,April,74.83
Service,Hospital,Q1,May,76.61
Service,Hospital,Q4,June,79.33
Service,Hospital,Q2,January,82.24
Culture,Library,Q1,January,83.79
Culture,Library,Q4,March,86.31
Culture,Library,Q2,February,86.14
Culture,Library,Q1,October,88.49
Culture,Library,Q4,November,89.46
Culture,Library,Q2,April,89.42
Culture,Library,Q1,May,94.63
Culture,Library,Q4,June,94.13
Culture,Library,Q2,January,99.21
