Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Temperature,21-30,0.74
2022,Wind,31-40,1.36
2022,Humidity,Storm,2.18
2022,Temperature,Calm,1.08
2022,Wind,Medium,4.05
2022,Humidity,High,5.05
2022,Temperature,Low,6.22
2022,Wind,21-30,7.07
2022,Humidity,31-40,9.67
2015,Temperature,21-30,15.58
2015,Wind,31-40,16.92
2015,Humidity,Storm,17.5
2015,Temperature,Calm,18.02
2015,Wind,Medium,17.15
2015,Humidity,High,17.72
2015,Temperature,Low,20.78
2015,Wind,21-30,22.65
2015,Humidity,31-40,27.99
