Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2021,Beverage,Juice,640.44
Export,2021,Dairy,Coffee,769.56
Export,2021,Meat,Butter,403.68
Export,2021,Beverage,Milk,532.22
Export,2021,Dairy,Cream,406.81
Export,2021,Meat,Lamb,410.56
Export,2021,Beverage,Duck,549.81
Export,2021,Dairy,Beef,551.17
Export,2021,Meat,Juice,552.49
Export,2022,Beverage,Juice,42.45
Export,2022,Dairy,Coffee,174.97
Export,2022,Meat,Butter,689.76
Export,2022,Beverage,Milk,564.43
Export,2022,Dairy,Cream,565.7
Export,2022,Meat,Lamb,958.26
Export,2022,Beverage,Duck,318.85
Export,2022,Dairy,Beef,963.85
Export,2022,Meat,Juice,836.54
Export,2015,Beverage,Juice,581.13
Export,2015,Dairy,Coffee,710.1
Export,2015,Meat,Butter,714.32
Export,2015,Beverage,Milk,586.15
Export,2015,Dairy,Cream,844.54
Export,2015,Meat,Lamb,333.25
Export,2015,Beverage,Duck,474.14
Export,2015,Dairy,Beef,603.29
Export,2015,Meat,Juice,872.91
Export,2021,Beverage,Juice,104.0
Export,2021,Dairy,Coffee,362.61
Export,2021,Meat,Butter,635.86
Export,2021,Beverage,Milk,876.36
Export,2021,Dairy,Cream,364.14
Export,2021,Meat,Lamb,625.64
Export,2021,Beverage,Duck,377.74
Export,2021,Dairy,Beef,763.41
Export,2021,Meat,Juice,767.86
