Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Temperature,11-20,0.14
2020,Humidity,31-40,4.51
2020,Wind,21-30,7.15
2020,Temperature,Low,9.68
2020,Humidity,High,9.02
2020,Wind,Breeze,14.03
2020,Temperature,Calm,16.94
2020,Humidity,11-20,17.6
2020,Wind,31-40,17.12
2017,Temperature,11-20,19.42
2017,Humidity,31-40,20.33
2017,Wind,21-30,20.52
2017,Temperature,Low,22.28
2017,Humidity,High,19.89
2017,Wind,Breeze,18.02
2017,Temperature,Calm,22.85
2017,Humidity,11-20,22.07
2017,Wind,31-40,23.35
