Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Storm,0.89
2022,Humidity,Breeze,1.63
2022,Temperature,High,2.35
2022,Wind,Low,3.92
2022,Humidity,Medium,6.17
2022,Temperature,0-10,6.83
2022,Wind,21-30,9.73
2022,Humidity,11-20,10.45
2022,Temperature,Storm,11.0
2016,Wind,Storm,12.28
2016,Humidity,Breeze,12.35
2016,Temperature,High,14.23
2016,Wind,Low,15.69
2016,Humidity,Medium,9.53
2016,Temperature,0-10,17.81
2016,Wind,21-30,18.28
2016,Humidity,11-20,18.22
2016,Temperature,Storm,20.53
2021,Wind,Storm,21.03
2021,Humidity,Breeze,18.1
2021,Temperature,High,23.78
2021,Wind,Low,24.41
2021,Humidity,Medium,25.22
2021,Temperature,0-10,26.77
2021,Wind,21-30,25.59
2021,Humidity,11-20,27.52
2021,Temperature,Storm,9.74
