Polluted element,Type of pollution,California_Berkeley_2021,California_Fort Lauderdale_2021,California_Rochester_2015,Florida_Minneapolis_2021,Florida_Tampa_2015,Minnesota_Hastings_2021,Minnesota_San Francisco_2015
Average,,-23.01,-11.16,12.22,-19.18,-13.65,29.56,-27.47
,  ,-23.01,-11.16,12.22,-19.18,-13.65,29.56,-27.47
Air,,-21.68,-8.35,12.09,2.28,8.84,-11.03,-48.49
,  Noise,-98.43,-5.73,61.43,-80.81,-31.08,-47.70,-88.91
,  Surface water,10.11,-11.95,-76.14,39.32,-40.10,68.55,-92.67
,  Thermal,23.28,-7.36,50.99,48.32,97.70,-53.93,36.12
Water,,-24.34,-13.96,12.35,-40.64,-36.14,70.15,-6.45
,  Groundwater,9.71,-24.69,51.04,40.72,-46.81,62.60,33.03
,  Light,-98.94,-6.89,61.70,-80.37,-29.75,77.60,-89.68
,  Oxygen-depletion,16.21,-10.31,-75.70,-82.28,-31.87,70.24,37.30
