Characteristic,Intensity,2019_Georgia_Columbus,2019_Maryland_Lenox,2019_Massachusetts_Columbia,2022_Georgia_Aberdeen,2022_Maryland_Albany,2022_Massachusetts_Cambridge,Maximum
Humidity,,16.77,12.06,20.63,16.36,26.96,6.66,26.96
,  0-10,16.77,9.62,18.33,16.36,20.18,4.97,20.18
,  21-30,7.44,12.06,20.12,16.09,23.48,6.66,23.48
,  Low,14.40,8.85,20.63,8.54,26.96,1.78,26.96
Temperature,,20.33,11.31,25.18,19.64,27.01,7.80,27.01
,  31-40,17.79,10.57,23.72,17.88,25.44,5.03,25.44
,  Low,20.33,11.31,25.18,19.64,11.72,7.80,25.18
,  Medium,14.66,9.65,21.49,10.04,27.01,2.62,27.01
Maximum,,20.33,12.06,25.18,19.64,27.01,7.80,27.01
,  ,20.33,12.06,25.18,19.64,27.01,7.80,27.01
