Polluted element,Type of pollution,Illinois_Champaign_2015,Illinois_Hastings_2015,Maryland_Aberdeen_2022,Maryland_Rochester_2022,Minnesota_Chicago_2020,Minnesota_Columbia_2020,Average
Air,Groundwater,7.46,-76.57,-35.66,92.74,55.20,-53.05,-1.65
,Inferior Irrigation,13.61,-68.06,-23.51,97.21,67.68,-47.88,6.51
,Inorganic Fertilizers,40.19,-53.61,-2.29,-86.84,86.52,-35.40,-8.57
,Light,17.85,-61.77,-20.51,0.35,72.73,-43.63,-5.83
,Surface water,19.81,-58.89,-10.71,-90.10,83.94,-39.68,-15.94
Soil,Groundwater,33.08,-55.62,-7.88,-87.06,-2.10,-8.14,-21.29
,Noise,20.16,-59.78,-11.41,-91.61,81.59,-40.82,-16.98
,Oxygen-depletion,3.87,-81.93,-33.18,91.94,50.93,-51.60,-3.33
,Solid Waste,17.54,-62.97,-21.96,96.76,72.38,-52.56,8.20
,Urban Activities,12.63,-71.23,-26.15,96.02,60.06,-48.06,3.88
Water,Industrial,16.72,-64.21,-22.35,97.94,71.33,-47.73,8.62
,Inorganic Fertilizers,10.15,-74.70,-30.71,92.52,60.11,-51.68,0.95
,Oxygen-depletion,30.05,-59.51,-8.34,-87.75,83.28,-38.47,-13.46
,Surface water,2.13,-84.11,-35.02,87.72,45.18,-53.12,-6.20
,Thermal,18.29,-62.51,-20.62,-95.47,72.25,-42.32,-21.73
