Quarter,Month,Residential_Administration,Residential_House,Service_Hotel,Service_Library,Minimum
Q1,,44.27,0.33,15.03,72.28,0.33
,  August,58.84,10.39,35.91,89.89,10.39
,  January,44.27,0.33,15.03,72.28,0.33
,  November,48.35,1.53,19.77,83.76,1.53
Q3,,47.79,0.61,16.31,82.46,0.61
,  January,72.97,14.14,44.08,97.68,14.14
,  October,47.79,0.73,16.31,82.46,0.73
,  September,56.96,0.61,34.72,88.58,0.61
Q4,,46.75,0.95,16.76,76.50,0.95
,  December,47.20,0.95,22.20,83.96,0.95
,  February,46.75,1.38,16.76,76.50,1.38
,  July,60.95,11.90,34.36,97.16,11.90
