Quarter,Month,Culture_Hospital,Culture_Hotel,Culture_Museum,Residential_House,Residential_Theatre,Service_Administration,Service_Concert,State,City
Q1,,75.47,38.68,0.71,49.53,15.98,65.03,23.88,,
,  April,83.38,41.03,4.19,50.86,19.79,68.55,29.07,Florida,Fort Lauderdale
,  January,75.47,38.68,0.71,49.53,15.98,65.03,23.88,Florida,Fort Lauderdale
,  July,96.80,44.68,9.52,51.70,22.01,71.96,32.48,Florida,Fort Lauderdale
Q2,,82.13,39.62,1.76,49.79,16.68,65.81,26.47,,
,  March,82.13,39.62,1.76,49.79,16.68,65.81,26.47,Florida,Fort Lauderdale
,  May,87.28,42.54,6.88,53.18,20.74,68.79,30.96,Florida,Fort Lauderdale
,  September,98.11,44.63,11.20,62.14,23.21,68.47,31.32,Florida,Fort Lauderdale
Q3,,82.64,40.86,0.84,51.52,17.86,67.80,23.52,,
,  August,92.98,43.09,6.30,54.29,20.56,70.46,31.87,Florida,Fort Lauderdale
,  February,82.64,40.86,0.84,51.52,17.86,67.80,23.52,Florida,Fort Lauderdale
,  January,99.43,44.72,12.82,63.77,24.38,74.14,35.76,Florida,Fort Lauderdale
