Characteristic,Intensity,2020_Massachusetts_Baltimore,2020_Massachusetts_Boston,2020_Massachusetts_Salem,2021_Maryland_Lenox,2021_Maryland_Redmond,2022_Oregon_Aberdeen,2022_Oregon_Cambridge,2022_Oregon_Portland
Maximum,,14.68,4.70,23.29,17.31,25.88,23.50,10.75,26.88
,  ,14.68,4.70,23.29,17.31,25.88,23.50,10.75,26.88
Humidity,,14.68,3.33,22.90,16.06,25.88,20.37,10.75,26.88
,  21-30,14.68,3.33,22.90,16.06,9.48,20.37,10.75,26.88
,  Low,10.28,1.77,20.38,14.69,23.23,6.79,7.62,26.50
,  Medium,0.28,0.56,10.74,12.81,25.88,16.01,6.61,23.30
Temperature,,14.38,4.70,23.29,17.31,9.64,23.50,6.22,26.80
,  0-10,12.02,3.15,13.18,15.14,9.50,19.91,3.17,19.66
,  11-20,14.38,4.70,23.29,17.31,9.64,23.50,6.22,26.80
,  High,3.94,1.49,19.02,13.57,6.60,5.05,6.10,21.25
