Polluted element,Type of pollution,Illinois_Champaign_2021,Illinois_Flint_2022,Michigan_Chicago_2018,Michigan_Detroit_2021
Air,Inferior Irrigation,24.44,-63.90,51.17,-6.30
,Inorganic Fertilizers,11.12,-75.56,-88.66,-44.79
,Light,11.61,59.82,48.33,94.47
,Solid Waste,2.00,55.44,-96.28,-51.39
,Urban Activities,28.69,-52.29,50.81,-1.05
Soil,Industrial,11.65,58.97,-86.91,94.55
,Inferior Irrigation,2.62,54.93,28.84,-51.24
,Noise,14.94,62.53,50.33,-32.34
,Solid Waste,24.85,71.90,50.18,-2.90
,Urban Activities,9.89,56.46,-91.25,-48.71
