Polluted element,Type of pollution,California_San Francisco_2017,California_Washington_2017,Georgia_Albany_2021,Georgia_Berkeley_2021
Air,Chemical,47.61,46.15,22.09,79.73
,Noise,-12.07,-82.57,27.43,-49.88
,Solid Waste,98.94,39.58,18.38,-52.24
Soil,Inferior Irrigation,-31.52,36.78,15.39,74.67
,Light,-14.34,-83.69,26.97,78.51
,Surface water,44.28,-84.06,19.09,14.10
Water,Groundwater,-29.19,35.19,13.36,70.89
,Oxygen-depletion,-20.57,-18.87,16.63,-54.26
,Thermal,-24.02,-88.56,25.05,-51.24
Average,,6.57,-22.23,20.49,12.25
