Polluted element,Type of pollution,Massachusetts_Boston,Massachusetts_Port Huron,Michigan_Detroit,Michigan_Lenox
Air,,-14.08,38.61,-17.67,16.06
,  Inorganic Fertilizers,13.83,-56.21,-25.92,54.36
,  Light,-98.74,80.83,-21.79,-71.05
,  Oxygen-depletion,42.67,91.22,-5.29,64.87
Soil,,-21.05,78.82,19.57,13.21
,  Oxygen-depletion,12.52,69.92,99.53,53.24
,  Surface water,-88.01,88.38,-17.09,58.92
,  Thermal,12.35,78.16,-23.72,-72.52
Water,,17.98,-9.36,18.85,-74.96
,  Noise,38.68,-47.70,-17.02,-70.54
,  Surface water,1.75,-59.31,97.86,-80.80
,  Urban Activities,13.50,78.94,-24.30,-73.54
Average,,-5.72,36.03,6.92,-15.23
,  ,-5.72,36.03,6.92,-15.23
