Quarter,Month,Production_Factory,Production_School,Service_Hospital,Service_Library,Service_Workshop,Minimum,State,City
Q1,,62.45,21.36,5.91,43.85,91.28,5.91,,
,  December,62.45,21.36,5.91,43.85,91.28,5.91,Georgia,Tampa
,  March,62.61,26.71,11.09,53.83,94.89,11.09,Florida,Tampa
,  November,77.58,35.58,17.93,58.26,98.53,17.93,Georgia,Tampa
Q2,,61.84,20.50,1.93,35.59,90.23,1.93,,
,  June,64.31,23.32,8.23,46.19,93.16,8.23,Georgia,Fort Lauderdale
,  November,61.84,20.50,1.93,35.59,90.23,1.93,Florida,Fort Lauderdale
,  October,71.64,32.07,16.40,56.17,95.54,16.40,Florida,Fort Lauderdale
Q4,,59.03,19.77,0.77,36.46,85.63,0.77,,
,  February,68.33,32.71,12.67,55.95,95.91,12.67,Georgia,Albany
,  May,61.74,22.54,6.63,45.31,92.05,6.63,Florida,Albany
,  October,59.03,19.77,0.77,36.46,85.63,0.77,Georgia,Albany
