Polluted element,Type of pollution,Georgia_Columbus_2019,Georgia_Detroit_2019,Georgia_Port Huron_2019,Michigan_Flint_2018,Michigan_Washington_2018
Average,,19.24,-13.49,-9.02,39.18,-40.64
,  ,19.24,-13.49,-9.02,39.18,-40.64
Air,,23.37,-34.13,-8.64,29.46,-38.45
,  Chemical,19.47,-59.43,-10.76,85.09,-88.39
,  Groundwater,18.32,8.52,-11.12,31.16,-77.62
,  Light,32.33,-51.47,-4.05,-27.87,50.67
Water,,15.10,7.15,-9.40,48.90,-42.83
,  Noise,22.76,75.77,-8.40,97.78,-89.97
,  Oxygen-depletion,4.90,-61.68,-17.44,84.63,-88.16
,  Surface water,17.65,7.37,-2.37,-35.70,49.63
