Characteristic,Intensity,2017_Nevada_Boulder City,2017_Nevada_Columbus,2021_Georgia_Albany,2021_Georgia_Reno
Maximum,,7.88,25.30,27.98,17.32
,  ,7.88,25.30,27.98,17.32
Humidity,,6.72,24.28,27.98,11.45
,  31-40,6.72,24.28,15.31,7.67
,  Medium,0.13,18.59,27.98,6.05
,  Storm,1.90,15.29,8.34,11.45
Temperature,,7.88,19.35,14.92,17.32
,  21-30,4.63,19.35,14.92,14.76
,  Calm,1.63,17.74,4.27,10.21
,  Low,7.88,19.14,1.16,17.32
Wind,,6.98,25.30,19.63,16.01
,  Breeze,4.04,19.92,9.65,12.59
,  Low,1.86,19.93,19.63,10.60
,  Medium,6.98,25.30,2.23,16.01
