Polluted element,Type of pollution,Georgia_Redmond,Georgia_Washington,Michigan_Port Huron,Michigan_Salem,Oregon_Columbus,Oregon_Flint,Oregon_Portland
Average,,40.16,-65.60,-44.66,65.50,34.03,-15.29,13.81
,  ,40.16,-65.60,-44.66,65.50,34.03,-15.29,13.81
Air,,40.94,-64.32,-43.70,68.64,28.26,-14.20,15.72
,  Chemical,41.00,-64.59,-43.10,68.94,5.22,-13.21,18.61
,  Inferior Irrigation,40.53,-67.49,-43.27,65.37,99.46,-15.47,14.54
,  Noise,44.85,-57.60,-37.62,81.34,-88.81,-10.03,20.63
,  Urban Activities,37.39,-67.62,-50.81,58.92,97.19,-18.09,9.09
Soil,,40.66,-65.63,-44.49,65.97,25.85,-14.76,13.25
,  Inorganic Fertilizers,40.69,-67.42,-43.79,64.55,99.83,-15.22,12.41
,  Light,43.07,-60.28,-40.44,73.90,-98.43,-11.29,15.77
,  Oxygen-depletion,41.45,-65.24,-44.97,68.09,5.91,-14.30,18.01
,  Solid Waste,37.41,-69.57,-48.75,57.35,96.09,-18.21,6.81
Water,,38.88,-66.86,-45.79,61.88,47.97,-16.92,12.47
,  Groundwater,36.97,-69.99,-49.31,50.93,95.01,-20.42,6.32
,  Industrial,36.78,-68.58,-44.57,60.62,96.30,-16.84,11.72
,  Surface water,39.79,-65.78,-44.42,65.97,2.52,-17.25,16.39
,  Thermal,42.00,-63.08,-44.84,69.99,-1.94,-13.16,15.45
