Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2020,Q4,Drowning,Serious,89.63
Female,2020,Q4,Traffic,Fatal,68.97
Female,2020,Q4,Fire,Slight,70.78
Female,2021,Q4,Drowning,Serious,10.9
Female,2021,Q4,Traffic,Fatal,11.95
Female,2021,Q4,Fire,Slight,78.46
Female,2016,Q4,Drowning,Serious,47.11
Female,2016,Q4,Traffic,Fatal,17.4
Female,2016,Q4,Fire,Slight,82.08
Female,2020,Q4,Drowning,Serious,87.37
Female,2020,Q4,Traffic,Fatal,88.69
Female,2020,Q4,Fire,Slight,57.8
Female,2021,Q4,Drowning,Serious,90.31
Female,2021,Q4,Traffic,Fatal,92.29
Female,2021,Q4,Fire,Slight,61.32
