Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2022,Minnesota,Minneapolis,Temperature,0-10,1.81
2022,Minnesota,Minneapolis,Humidity,21-30,2.89
2022,Minnesota,Minneapolis,Temperature,11-20,1.63
2022,Minnesota,Minneapolis,Humidity,Medium,4.0
2022,Minnesota,Minneapolis,Temperature,High,5.16
2022,Minnesota,Minneapolis,Humidity,Low,6.53
2015,Nevada,Rochester,Temperature,0-10,6.84
2015,Nevada,Rochester,Humidity,21-30,6.67
2015,Nevada,Rochester,Temperature,11-20,5.86
2015,Nevada,Rochester,Humidity,Medium,10.36
2015,Nevada,Rochester,Temperature,High,11.26
2015,Nevada,Rochester,Humidity,Low,12.54
2017,Minnesota,Hastings,Temperature,0-10,13.28
2017,Minnesota,Hastings,Humidity,21-30,16.3
2017,Minnesota,Hastings,Temperature,11-20,18.58
2017,Minnesota,Hastings,Humidity,Medium,18.1
2017,Minnesota,Hastings,Temperature,High,20.1
2017,Minnesota,Hastings,Humidity,Low,21.61
2022,Nevada,Boulder City,Temperature,0-10,19.48
2022,Nevada,Boulder City,Humidity,21-30,18.82
2022,Nevada,Boulder City,Temperature,11-20,24.11
2022,Nevada,Boulder City,Humidity,Medium,25.86
2022,Nevada,Boulder City,Temperature,High,26.65
2022,Nevada,Boulder City,Humidity,Low,26.06
2015,Minnesota,Las Vegas,Temperature,0-10,27.69
2015,Minnesota,Las Vegas,Humidity,21-30,23.24
2015,Minnesota,Las Vegas,Temperature,11-20,25.39
2015,Minnesota,Las Vegas,Humidity,Medium,26.57
2015,Minnesota,Las Vegas,Temperature,High,18.28
2015,Minnesota,Las Vegas,Humidity,Low,21.33
