Quarter,Month,Production_Hospital,Production_Workshop,Service_Factory,Service_Library,Service_School
Minimum,,21.42,46.39,60.66,35.48,2.13
,  ,21.42,46.39,60.66,35.48,2.13
Q1,,21.42,48.40,66.99,35.48,2.13
,  January,21.42,54.33,86.26,45.76,3.87
,  July,35.70,58.28,92.90,48.41,18.69
,  June,23.31,48.40,66.99,35.48,2.13
Q2,,22.25,48.06,60.66,35.96,2.82
,  August,33.82,50.87,88.78,46.60,13.09
,  March,25.18,48.06,81.97,44.84,5.95
,  May,22.25,48.70,60.66,35.96,2.82
Q3,,21.92,46.39,71.58,43.93,2.96
,  April,21.92,46.39,71.58,43.93,2.96
,  February,28.77,55.80,86.50,45.77,10.09
,  September,36.14,59.34,95.48,49.94,21.63
