Characteristic,Intensity,2021_California_Berkeley,2021_California_Lenox,2022_Massachusetts_Boston,2022_Massachusetts_Cambridge,2022_Massachusetts_Malibu
Maximum,,27.44,17.77,26.22,7.88,21.35
,  ,27.44,17.77,26.22,7.88,21.35
Humidity,,20.81,17.77,26.22,7.88,14.01
,  21-30,4.27,17.77,26.22,7.88,0.49
,  Breeze,20.81,11.73,19.67,1.57,14.01
,  Medium,9.85,10.90,23.68,5.02,3.01
Temperature,,27.44,14.94,23.14,6.69,21.35
,  31-40,27.44,9.80,18.32,0.00,0.23
,  Calm,27.24,11.22,21.45,2.92,18.77
,  Low,9.16,14.94,23.14,6.69,21.35
Wind,,24.99,16.74,25.68,6.76,19.99
,  21-30,24.99,10.81,18.38,1.81,14.14
,  31-40,11.30,16.74,25.68,6.76,2.31
,  High,8.01,13.80,22.13,4.98,19.99
