Polluted element,Type of pollution,Florida_Columbus,Florida_Fort Lauderdale,Georgia_Tampa,Georgia_Washington
Average,,-22.86,23.65,25.33,-9.11
,  ,-22.86,23.65,25.33,-9.11
Air,,45.42,4.77,-9.78,15.32
,  Industrial,41.36,85.26,-50.01,20.21
,  Noise,39.56,-41.55,-65.03,0.12
,  Oxygen-depletion,55.35,-29.40,85.71,25.62
Soil,,-36.65,51.47,35.49,-23.75
,  Groundwater,-72.26,-27.64,85.50,-99.83
,  Thermal,-87.89,89.79,-59.26,5.35
,  Urban Activities,50.19,92.25,80.23,23.23
Water,,-77.34,14.71,50.27,-18.90
,  Chemical,-75.23,92.83,-9.01,24.52
,  Light,-86.91,-38.83,72.26,11.76
,  Noise,-69.89,-9.88,87.57,-92.98
