Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,School,Q2,May,Massachusetts,Boston,1.7
Service,School,Q1,April,Massachusetts,Boston,3.54
Service,School,Q2,March,Massachusetts,Boston,9.6
Service,School,Q1,January,Massachusetts,Boston,10.75
Residential,Library,Q2,May,Massachusetts,Boston,12.55
Residential,Library,Q1,April,Massachusetts,Boston,13.34
Residential,Library,Q2,March,Massachusetts,Boston,14.75
Residential,Library,Q1,January,Massachusetts,Boston,14.72
Culture,Administration,Q2,May,Massachusetts,Boston,18.4
Culture,Administration,Q1,April,Massachusetts,Boston,21.02
Culture,Administration,Q2,March,Massachusetts,Boston,22.84
Culture,Administration,Q1,January,Massachusetts,Boston,26.63
Service,House,Q2,May,Massachusetts,Boston,27.07
Service,House,Q1,April,Massachusetts,Boston,26.72
Service,House,Q2,March,Massachusetts,Boston,33.2
Service,House,Q1,January,Massachusetts,Boston,36.9
Residential,Hotel,Q2,May,Massachusetts,Boston,45.96
Residential,Hotel,Q1,April,Massachusetts,Boston,46.13
Residential,Hotel,Q2,March,Massachusetts,Boston,48.08
Residential,Hotel,Q1,January,Massachusetts,Boston,51.45
Culture,Apartment,Q2,May,Massachusetts,Boston,54.52
Culture,Apartment,Q1,April,Massachusetts,Boston,56.99
Culture,Apartment,Q2,March,Massachusetts,Boston,60.75
Culture,Apartment,Q1,January,Massachusetts,Boston,64.14
Service,Concert,Q2,May,Massachusetts,Boston,67.0
Service,Concert,Q1,April,Massachusetts,Boston,69.34
Service,Concert,Q2,March,Massachusetts,Boston,70.21
Service,Concert,Q1,January,Massachusetts,Boston,71.32
Residential,Museum,Q2,May,Massachusetts,Boston,69.5
Residential,Museum,Q1,April,Massachusetts,Boston,77.97
Residential,Museum,Q2,March,Massachusetts,Boston,78.35
Residential,Museum,Q1,January,Massachusetts,Boston,84.18
Culture,Theatre,Q2,May,Massachusetts,Boston,84.05
Culture,Theatre,Q1,April,Massachusetts,Boston,93.51
Culture,Theatre,Q2,March,Massachusetts,Boston,96.01
Culture,Theatre,Q1,January,Massachusetts,Boston,96.58
