Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q4,October,0.9
Production,Workshop,Q2,December,2.13
Production,Workshop,Q4,April,6.9
Production,Workshop,Q2,June,7.69
Production,Workshop,Q4,May,9.52
Production,Workshop,Q2,October,16.98
Service,Factory,Q4,October,17.92
Service,Factory,Q2,December,24.32
Service,Factory,Q4,April,29.37
Service,Factory,Q2,June,30.26
Service,Factory,Q4,May,31.11
Service,Factory,Q2,October,32.92
Culture,Library,Q4,October,31.19
Culture,Library,Q2,December,32.67
Culture,Library,Q4,April,36.3
Culture,Library,Q2,June,37.65
Culture,Library,Q4,May,38.84
Culture,Library,Q2,October,39.92
Production,Administration,Q4,October,39.12
Production,Administration,Q2,December,42.57
Production,Administration,Q4,April,42.46
Production,Administration,Q2,June,44.58
Production,Administration,Q4,May,49.34
Production,Administration,Q2,October,50.88
Service,School,Q4,October,55.81
Service,School,Q2,December,57.23
Service,School,Q4,April,58.89
Service,School,Q2,June,60.98
Service,School,Q4,May,61.05
Service,School,Q2,October,61.07
Culture,Theatre,Q4,October,60.99
Culture,Theatre,Q2,December,64.57
Culture,Theatre,Q4,April,63.96
Culture,Theatre,Q2,June,70.14
Culture,Theatre,Q4,May,70.05
Culture,Theatre,Q2,October,72.33
Production,Concert,Q4,October,72.26
Production,Concert,Q2,December,73.91
Production,Concert,Q4,April,77.24
Production,Concert,Q2,June,80.59
Production,Concert,Q4,May,81.12
Production,Concert,Q2,October,87.48
Service,Museum,Q4,October,89.32
Service,Museum,Q2,December,90.93
Service,Museum,Q4,April,90.63
Service,Museum,Q2,June,93.78
Service,Museum,Q4,May,94.33
Service,Museum,Q2,October,95.74
