Polluted element,Type of pollution,Georgia_Cambridge_2018,Georgia_Columbus_2018,Georgia_Detroit_2018,Massachusetts_Albany_2019,Massachusetts_Port Huron_2019,Michigan_Boston_2015,Michigan_Flint_2015,Michigan_Washington_2015,Average
Air,Light,-15.57,-93.84,36.43,-69.22,69.67,-40.47,14.27,83.56,-1.90
,Oxygen-depletion,-3.83,-77.47,51.19,-61.92,69.12,-30.82,23.65,87.12,7.13
,Solid Waste,-8.02,-82.49,41.73,-63.48,72.53,-36.48,19.14,86.29,3.65
,Surface water,-27.34,96.64,32.93,-74.06,54.20,-41.98,7.67,78.31,15.80
Soil,Groundwater,-18.96,97.64,34.62,-72.16,56.12,-41.85,9.43,81.43,18.28
,Inorganic Fertilizers,-6.12,-80.70,42.04,-62.38,71.44,-36.75,21.91,87.05,4.56
,Surface water,-1.89,-77.71,53.88,-44.08,76.30,-29.04,29.98,90.04,12.19
,Thermal,-15.46,-93.88,37.06,-69.85,69.33,-37.31,14.98,83.75,-1.42
Water,Industrial,-11.70,-84.66,39.11,-67.90,71.90,-36.96,18.12,84.44,1.54
,Inferior Irrigation,-4.83,-79.84,45.22,-61.23,74.45,-34.14,22.51,88.62,6.34
,Noise,-17.03,-96.74,34.97,-71.39,61.91,-42.40,12.73,82.32,-4.45
,Oxygen-depletion,-29.88,92.93,31.42,-74.11,54.55,-42.33,4.04,77.24,14.23
