Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q3,September,1.36
Service,Administration,Q1,July,2.96
Service,Administration,Q3,January,4.22
Service,Administration,Q1,March,8.82
Service,Administration,Q3,February,9.87
Service,Administration,Q1,September,14.41
Residential,Hospital,Q3,September,14.5
Residential,Hospital,Q1,July,18.03
Residential,Hospital,Q3,January,20.38
Residential,Hospital,Q1,March,21.49
Residential,Hospital,Q3,February,23.28
Residential,Hospital,Q1,September,26.99
Production,Hotel,Q3,September,28.61
Production,Hotel,Q1,July,29.38
Production,Hotel,Q3,January,30.42
Production,Hotel,Q1,March,35.6
Production,Hotel,Q3,February,37.94
Production,Hotel,Q1,September,42.65
Service,House,Q3,September,49.84
Service,House,Q1,July,51.83
Service,House,Q3,January,55.4
Service,House,Q1,March,65.64
Service,House,Q3,February,66.33
Service,House,Q1,September,69.95
Residential,Workshop,Q3,September,72.84
Residential,Workshop,Q1,July,76.1
Residential,Workshop,Q3,January,77.8
Residential,Workshop,Q1,March,77.25
Residential,Workshop,Q3,February,83.57
Residential,Workshop,Q1,September,86.28
Production,Factory,Q3,September,86.66
Production,Factory,Q1,July,87.02
Production,Factory,Q3,January,87.6
Production,Factory,Q1,March,93.38
Production,Factory,Q3,February,96.6
Production,Factory,Q1,September,98.22
