Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Theatre,Q4,November,Massachusetts,Cambridge,66.2
Culture,Theatre,Q1,December,Michigan,Lenox,36.13
Culture,Theatre,Q4,March,Massachusetts,Detroit,6.17
Culture,Theatre,Q1,January,Michigan,Port Huron,71.6
Production,Concert,Q4,November,Massachusetts,Cambridge,8.11
Production,Concert,Q1,December,Michigan,Lenox,39.88
Production,Concert,Q4,March,Massachusetts,Detroit,42.31
Production,Concert,Q1,January,Michigan,Port Huron,71.7
Culture,Factory,Q4,November,Massachusetts,Cambridge,7.02
Culture,Factory,Q1,December,Michigan,Lenox,77.78
Culture,Factory,Q4,March,Massachusetts,Detroit,72.98
Culture,Factory,Q1,January,Michigan,Port Huron,94.95
Production,Workshop,Q4,November,Massachusetts,Cambridge,90.14
Production,Workshop,Q1,December,Michigan,Lenox,59.15
Production,Workshop,Q4,March,Massachusetts,Detroit,95.04
Production,Workshop,Q1,January,Michigan,Port Huron,95.78
