Polluted element,Type of pollution,Maryland_Baltimore_2016,Maryland_Hastings_2016,Maryland_Reno_2016,Minnesota_Boulder City_2015,Minnesota_Columbia_2015,Minnesota_Minneapolis_2015,Nevada_Aberdeen_2018,Nevada_Las Vegas_2018
Air,,-21.66,-56.16,-12.61,-31.09,8.61,12.12,-2.59,-46.65
,  Groundwater,-63.24,-97.32,-13.74,-30.21,49.89,12.48,40.02,-47.22
,  Noise,61.24,24.49,-18.45,-38.68,-82.05,1.98,-91.02,-51.38
,  Solid Waste,-62.97,-95.64,-5.64,-24.37,58.00,21.89,43.24,-41.34
Soil,,-16.92,-96.75,-8.58,16.32,9.83,18.30,-46.47,-3.53
,  Noise,-51.07,-96.53,-1.67,-20.74,60.78,23.56,41.04,88.77
,  Thermal,63.85,-98.52,-15.30,96.29,-80.62,10.83,-89.89,-48.35
,  Urban Activities,-63.54,-95.20,-8.77,-26.58,49.34,20.51,-90.57,-51.02
Water,,-20.80,-12.39,-10.09,-29.50,-33.40,14.70,-1.72,37.99
,  Inorganic Fertilizers,-59.32,-95.84,-3.43,-21.81,-69.83,23.79,43.57,88.08
,  Light,60.85,29.17,-16.54,-36.63,-81.21,8.19,38.85,77.85
,  Surface water,-63.93,29.51,-10.30,-30.06,50.85,12.11,-87.59,-51.97
Average,,-19.79,-55.10,-10.43,-14.75,-4.98,15.04,-16.93,-4.06
,  ,-19.79,-55.10,-10.43,-14.75,-4.98,15.04,-16.93,-4.06
