Quarter,Month,Culture_Administration,Culture_Apartment,Culture_Concert,Residential_Hospital,Residential_House,Service_Hotel,Service_Library,Service_Museum,State,City
Q1,,18.19,72.23,52.56,29.87,71.79,80.62,3.31,36.22,,
,  April,18.19,89.16,52.56,29.87,71.79,80.79,3.31,36.22,California,San Francisco
,  January,21.30,93.41,60.99,33.21,73.60,80.62,13.28,42.79,Illinois,Chicago
,  June,25.71,72.23,68.36,36.21,77.31,86.62,17.74,43.69,California,San Francisco
Q2,,17.71,88.45,49.12,24.40,67.74,73.79,2.09,37.26,,
,  December,25.41,99.47,67.22,35.25,76.18,85.37,16.44,43.99,Illinois,Chicago
,  February,17.71,89.75,57.04,31.14,73.49,73.79,9.55,40.41,California,San Francisco
,  June,19.57,88.45,49.12,24.40,67.74,79.65,2.09,37.26,Illinois,Chicago
Q4,,17.09,76.32,54.22,25.37,68.13,72.59,6.50,40.10,,
,  April,27.74,76.32,69.17,37.52,73.77,86.90,18.89,42.93,Illinois,Chicago
,  May,17.09,90.47,54.22,25.37,68.13,72.59,6.50,40.10,Illinois,Chicago
,  October,24.11,94.47,61.22,33.92,74.63,83.48,14.11,43.44,California,San Francisco
Minimum,,17.09,72.23,49.12,24.40,67.74,72.59,2.09,36.22,,
,  ,17.09,72.23,49.12,24.40,67.74,72.59,2.09,36.22,,
