Characteristic,Intensity,2019_Massachusetts_Cambridge,2019_Massachusetts_Malibu,2019_Massachusetts_San Francisco,2020_California_Lenox,2020_California_Los-Angeles,Maximum
Humidity,,9.25,23.11,21.74,17.00,24.99,24.99
,  11-20,6.32,23.11,14.28,15.79,8.21,23.11
,  High,9.25,5.00,21.74,17.00,10.40,21.74
,  Storm,2.66,17.76,11.88,12.44,24.99,24.99
Temperature,,7.48,23.50,21.55,15.98,23.42,23.50
,  0-10,5.65,23.38,0.23,7.61,23.13,23.38
,  Calm,2.77,20.21,11.50,11.93,23.42,23.42
,  Low,7.48,23.50,21.55,15.98,10.70,23.50
Wind,,7.88,25.15,17.74,16.17,25.18,25.18
,  31-40,4.61,15.49,11.41,13.88,25.18,25.18
,  Breeze,0.56,16.15,10.80,5.44,22.23,22.23
,  Medium,7.88,25.15,17.74,16.17,8.81,25.15
Maximum,,9.25,25.15,21.74,17.00,25.18,25.18
,  ,9.25,25.15,21.74,17.00,25.18,25.18
