Quarter,Month,Culture_Apartment,Culture_Museum,Residential_Concert,Residential_Hotel,Residential_School,Service_Administration,Service_Theatre,Minimum
Q1,,21.43,70.62,54.58,5.08,91.87,78.34,34.02,5.08
,  January,21.43,70.62,54.58,5.08,92.67,78.34,34.02,5.08
,  July,29.07,76.88,63.73,14.29,95.66,89.49,51.41,14.29
,  June,24.08,72.15,57.75,12.30,91.87,82.63,42.63,12.30
Q2,,22.01,71.64,54.04,6.64,93.32,80.09,37.56,6.64
,  March,22.01,71.64,54.04,6.64,93.32,80.09,37.56,6.64
,  May,25.08,74.49,57.28,13.05,96.81,81.69,44.08,13.05
,  September,29.48,77.05,64.75,16.01,99.93,90.07,52.95,16.01
Q3,,23.23,72.04,56.21,5.15,93.38,75.70,40.47,5.15
,  August,24.94,75.74,62.49,13.92,96.98,87.35,49.77,13.92
,  February,23.23,72.04,56.21,5.15,93.38,75.70,40.47,5.15
,  January,32.80,78.37,68.96,20.31,99.05,91.57,52.40,20.31
