Polluted element,Type of pollution,Florida_Cambridge,Florida_Tampa,Massachusetts_Fort Lauderdale,Massachusetts_Lenox
Air,Groundwater,-59.86,15.03,-90.56,-34.42
,Solid Waste,-38.98,27.25,58.61,-11.36
,Thermal,-49.19,25.60,46.53,-26.82
Soil,Chemical,73.33,22.45,-88.35,94.66
,Light,-47.70,27.11,-81.43,-20.84
,Oxygen-depletion,92.16,28.69,-65.18,-10.93
Water,Inorganic Fertilizers,85.00,28.28,-71.83,-12.93
,Noise,-50.63,25.93,-83.73,-28.20
,Oxygen-depletion,63.14,13.10,37.20,-34.44
Average,,7.47,23.72,-37.64,-9.48
