State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Oregon,Salem,Water,Oxygen-depletion,2.13
Oregon,Salem,Air,Groundwater,4.88
Oregon,Salem,Soil,Light,6.45
Oregon,Salem,Water,Noise,9.13
Oregon,Salem,Air,Thermal,13.92
Oregon,Salem,Soil,Solid Waste,13.39
Oregon,Salem,Water,Urban Activities,15.71
Oregon,Salem,Air,Industrial,18.29
Oregon,Salem,Soil,Inorganic Fertilizers,19.6
Oregon,Salem,Water,Oxygen-depletion,20.79
Oregon,Salem,Air,Groundwater,20.7
Oregon,Salem,Soil,Light,20.92
Minnesota,Redmond,Water,Oxygen-depletion,23.85
Minnesota,Redmond,Air,Groundwater,23.91
Minnesota,Redmond,Soil,Light,-98.65
Minnesota,Redmond,Water,Noise,-96.9
Minnesota,Redmond,Air,Thermal,33.36
Minnesota,Redmond,Soil,Solid Waste,34.93
Minnesota,Redmond,Water,Urban Activities,-94.18
Minnesota,Redmond,Air,Industrial,34.75
Minnesota,Redmond,Soil,Inorganic Fertilizers,-93.14
Minnesota,Redmond,Water,Oxygen-depletion,38.43
Minnesota,Redmond,Air,Groundwater,-96.21
Minnesota,Redmond,Soil,Light,40.35
Oregon,Portland,Water,Oxygen-depletion,41.31
Oregon,Portland,Air,Groundwater,42.06
Oregon,Portland,Soil,Light,43.1
Oregon,Portland,Water,Noise,-1.05
Oregon,Portland,Air,Thermal,-83.02
Oregon,Portland,Soil,Solid Waste,50.87
Oregon,Portland,Water,Urban Activities,51.53
Oregon,Portland,Air,Industrial,52.74
Oregon,Portland,Soil,Inorganic Fertilizers,-75.71
Oregon,Portland,Water,Oxygen-depletion,-74.59
Oregon,Portland,Air,Groundwater,55.92
Oregon,Portland,Soil,Light,55.53
Minnesota,Minneapolis,Water,Oxygen-depletion,-72.2
Minnesota,Minneapolis,Air,Groundwater,-73.67
Minnesota,Minneapolis,Soil,Light,61.32
Minnesota,Minneapolis,Water,Noise,62.55
Minnesota,Minneapolis,Air,Thermal,65.63
Minnesota,Minneapolis,Soil,Solid Waste,-63.03
Minnesota,Minneapolis,Water,Urban Activities,65.81
Minnesota,Minneapolis,Air,Industrial,-60.55
Minnesota,Minneapolis,Soil,Inorganic Fertilizers,70.44
Minnesota,Minneapolis,Water,Oxygen-depletion,-50.43
Minnesota,Minneapolis,Air,Groundwater,80.22
Minnesota,Minneapolis,Soil,Light,81.84
Oregon,Rochester,Water,Oxygen-depletion,83.82
Oregon,Rochester,Air,Groundwater,-44.48
Oregon,Rochester,Soil,Light,86.89
Oregon,Rochester,Water,Noise,87.71
Oregon,Rochester,Air,Thermal,-40.3
Oregon,Rochester,Soil,Solid Waste,89.47
Oregon,Rochester,Water,Urban Activities,90.17
Oregon,Rochester,Air,Industrial,-38.76
Oregon,Rochester,Soil,Inorganic Fertilizers,92.99
Oregon,Rochester,Water,Oxygen-depletion,93.59
Oregon,Rochester,Air,Groundwater,-36.31
Oregon,Rochester,Soil,Light,95.51
Minnesota,Hastings,Water,Oxygen-depletion,-33.86
Minnesota,Hastings,Air,Groundwater,98.21
Minnesota,Hastings,Soil,Light,-26.36
Minnesota,Hastings,Water,Noise,-22.24
Minnesota,Hastings,Air,Thermal,-21.55
Minnesota,Hastings,Soil,Solid Waste,-20.89
Minnesota,Hastings,Water,Urban Activities,-17.32
Minnesota,Hastings,Air,Industrial,-14.39
Minnesota,Hastings,Soil,Inorganic Fertilizers,-13.02
Minnesota,Hastings,Water,Oxygen-depletion,-12.78
Minnesota,Hastings,Air,Groundwater,-7.56
Minnesota,Hastings,Soil,Light,-1.19
