Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Humidity,Low,2.37
2016,Wind,Medium,2.32
2016,Temperature,Storm,2.96
2016,Humidity,Breeze,5.68
2016,Wind,Calm,5.66
2016,Temperature,11-20,3.27
2016,Humidity,21-30,8.15
2016,Wind,31-40,9.8
2016,Temperature,Low,9.4
2021,Humidity,Low,11.88
2021,Wind,Medium,12.98
2021,Temperature,Storm,8.51
2021,Humidity,Breeze,16.0
2021,Wind,Calm,17.37
2021,Temperature,11-20,18.66
2021,Humidity,21-30,17.42
2021,Wind,31-40,20.84
2021,Temperature,Low,20.03
2020,Humidity,Low,16.6
2020,Wind,Medium,22.64
2020,Temperature,Storm,24.9
2020,Humidity,Breeze,25.69
2020,Wind,Calm,26.11
2020,Temperature,11-20,25.64
2020,Humidity,21-30,21.71
2020,Wind,31-40,19.39
2020,Temperature,Low,19.5
