Quarter,Month,Culture_Administration,Culture_Hotel,Culture_Museum,Residential_Concert,Residential_House,Service_Apartment,Service_Hospital,State,City
Minimum,,47.30,43.60,1.03,1.50,47.28,27.43,69.30,,
,  ,47.30,43.60,1.03,1.50,47.28,27.43,69.30,,
Q1,,47.30,46.88,1.24,5.61,53.23,29.46,73.82,,
,  June,88.66,46.88,1.24,5.61,55.51,29.46,73.82,Nevada,Las Vegas
,  March,95.27,49.48,6.77,15.07,53.23,38.30,79.80,Nevada,Reno
,  September,47.30,52.74,7.44,26.09,66.42,42.08,80.18,Nevada,Las Vegas
Q2,,85.04,45.05,1.03,11.13,54.89,27.59,71.55,,
,  January,91.16,48.98,4.79,14.24,57.01,35.15,78.28,Nevada,Las Vegas
,  July,98.12,50.74,1.44,23.98,61.47,39.01,81.50,Nevada,Reno
,  September,85.04,45.05,1.03,11.13,54.89,27.59,71.55,Nevada,Reno
Q3,,77.55,43.60,1.45,1.50,47.28,27.43,69.30,,
,  February,97.21,50.08,4.73,19.58,59.74,39.98,78.71,Nevada,Las Vegas
,  July,77.55,43.60,1.45,3.18,47.28,27.43,69.30,Nevada,Las Vegas
,  May,88.68,46.12,4.47,1.50,56.40,30.58,77.47,Nevada,Reno
