Polluted element,Type of pollution,Maryland_Baltimore_2018,Maryland_Las Vegas_2018,Maryland_Reno_2016,Nevada_Boulder City_2022,Nevada_Columbia_2021
Average,,-10.61,1.39,-2.18,36.40,-18.35
,  ,-10.61,1.39,-2.18,36.40,-18.35
Air,,24.19,13.45,-33.12,16.40,-16.96
,  Groundwater,17.10,-21.41,60.27,-50.11,-83.66
,  Industrial,38.69,-3.31,-58.46,90.52,54.92
,  Inferior Irrigation,32.63,-16.68,-63.88,-47.42,-79.29
,  Solid Waste,8.34,95.19,-70.43,72.63,40.20
Soil,,-12.91,10.69,61.10,13.53,-52.12
,  Industrial,11.25,-25.22,59.72,-53.00,43.13
,  Inferior Irrigation,4.33,92.59,55.34,70.39,-88.94
,  Inorganic Fertilizers,-95.45,-7.46,66.12,86.13,-78.09
,  Light,28.24,-17.17,63.22,-49.38,-84.57
Water,,-43.12,-19.97,-34.52,79.25,14.03
,  Chemical,13.69,-22.96,-69.28,77.29,-84.60
,  Inorganic Fertilizers,5.67,-35.21,55.04,71.45,40.99
,  Noise,-98.92,-16.09,-64.32,78.74,48.51
,  Solid Waste,-92.90,-5.62,-59.53,89.52,51.21
