Polluted element,Type of pollution,Minnesota_Hastings_2015,Minnesota_Reno_2015,Nevada_Las Vegas_2017,Nevada_Rochester_2017,Average
Air,Industrial,7.16,-61.42,-61.48,-89.05,-51.20
,Inferior Irrigation,33.70,-49.42,-1.62,-64.23,-20.39
,Solid Waste,30.88,-58.22,-16.85,-68.13,-28.08
,Surface water,12.37,-58.41,90.15,-82.45,-9.58
,Thermal,24.72,-56.89,70.30,51.88,22.50
Soil,Inferior Irrigation,10.14,64.41,-62.45,-89.06,-19.24
,Inorganic Fertilizers,31.11,77.51,-12.73,-66.92,7.24
,Light,24.05,70.64,-26.65,-75.36,-1.83
,Oxygen-depletion,18.45,-57.68,-34.95,-80.57,-38.69
,Solid Waste,3.31,65.61,-57.05,36.02,11.97
Water,Chemical,21.32,-56.14,-31.73,49.95,-4.15
,Industrial,-96.15,-50.39,-8.63,-65.98,-55.29
,Inorganic Fertilizers,6.92,66.02,-62.61,-92.83,-20.62
,Noise,-99.74,-54.02,-25.36,59.35,-29.94
,Urban Activities,10.66,69.47,-44.77,-89.15,-13.45
Average,,2.59,-5.93,-19.10,-44.44,-16.72
