Polluted element,Type of pollution,California_Columbus,California_Malibu,California_San Francisco,Georgia_Albany,Georgia_Los-Angeles,Georgia_Washington
Air,,46.30,-32.11,7.34,-22.92,-32.59,31.82
,  Chemical,-40.84,-80.45,4.67,-30.62,30.21,73.61
,  Groundwater,91.66,58.96,9.30,-20.41,-95.77,76.09
,  Light,88.07,-74.84,8.04,-17.72,-32.20,-54.24
Soil,,-15.66,-26.79,11.77,-19.47,-30.20,11.50
,  Oxygen-depletion,-38.46,-73.06,8.32,-23.73,-96.28,-55.36
,  Thermal,27.23,-71.17,12.10,-14.78,-30.79,11.74
,  Urban Activities,-35.74,63.85,14.90,-19.91,36.47,78.12
Water,,25.80,33.38,9.53,-21.37,-31.51,11.33
,  Inferior Irrigation,-36.87,59.39,11.04,-19.15,34.63,-51.36
,  Noise,25.00,-8.52,10.03,-16.54,-31.23,11.29
,  Surface water,89.28,49.28,7.52,-28.42,-97.93,74.07
Average,,18.81,-8.51,9.55,-21.25,-31.43,18.22
,  ,18.81,-8.51,9.55,-21.25,-31.43,18.22
