Characteristic,Intensity,2016_Massachusetts_Baltimore,2016_Massachusetts_Cambridge,2017_Maryland_Aberdeen,2017_Maryland_Lenox,2017_Maryland_Springfield,2020_Illinois_Boston,2020_Illinois_Champaign,2020_Illinois_Columbia
Humidity,,17.72,11.88,5.46,14.33,24.02,17.15,27.97,10.56
,  0-10,17.72,11.88,5.46,2.79,24.02,5.88,23.02,4.13
,  High,14.49,7.43,4.54,14.33,20.35,17.15,27.97,10.56
,  Medium,14.79,7.18,2.32,0.10,19.83,15.83,24.89,4.27
Temperature,,19.23,11.45,6.19,14.88,22.90,21.81,27.40,13.82
,  11-20,15.89,3.10,5.36,14.88,21.26,17.58,5.92,9.61
,  Low,15.48,7.26,2.13,13.01,20.16,2.62,27.40,4.18
,  Medium,19.23,11.45,6.19,2.88,22.90,21.81,7.84,13.82
Maximum,,19.23,11.88,6.19,14.88,24.02,21.81,27.97,13.82
,  ,19.23,11.88,6.19,14.88,24.02,21.81,27.97,13.82
