Characteristic,Intensity,2018_Massachusetts_Columbia,2018_Massachusetts_Lenox,2018_Massachusetts_Port Huron,2021_Maryland_Aberdeen,2021_Maryland_Cambridge,2022_Michigan_Baltimore,2022_Michigan_Boston,2022_Michigan_Detroit,Maximum
Humidity,,20.72,12.75,17.31,14.98,26.35,20.95,25.09,8.64,26.35
,  11-20,20.21,11.03,12.59,14.98,23.06,18.91,25.09,5.54,25.09
,  Calm,1.66,12.75,17.31,4.87,26.35,20.95,0.00,8.64,26.35
,  Storm,20.72,3.10,11.88,13.78,20.76,17.38,4.92,2.93,20.76
Temperature,,23.18,10.69,15.91,16.21,25.58,19.00,26.78,5.48,26.78
,  0-10,21.07,10.69,12.13,13.41,22.03,18.76,26.05,4.43,26.05
,  Breeze,20.98,3.77,10.60,13.40,18.79,17.66,26.78,0.55,26.78
,  High,23.18,0.29,15.91,16.21,25.58,19.00,6.85,5.48,25.58
Wind,,22.59,10.57,12.95,13.56,24.46,18.90,27.81,6.79,27.81
,  31-40,20.85,10.57,12.95,13.56,21.05,5.79,27.81,3.25,27.81
,  Calm,20.99,3.42,6.13,12.32,18.03,17.76,25.33,0.95,25.33
,  Medium,22.59,0.62,7.54,2.26,24.46,18.90,24.36,6.79,24.46
Maximum,,23.18,12.75,17.31,16.21,26.35,20.95,27.81,8.64,27.81
,  ,23.18,12.75,17.31,16.21,26.35,20.95,27.81,8.64,27.81
