Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Maryland,Aberdeen,Wind,Breeze,3.33
2017,Maryland,Aberdeen,Humidity,Storm,4.97
2017,Maryland,Aberdeen,Wind,Calm,5.38
2017,Maryland,Aberdeen,Humidity,Medium,6.49
2017,Maryland,Aberdeen,Wind,High,7.77
2017,Maryland,Aberdeen,Humidity,Breeze,7.04
2021,Michigan,Baltimore,Wind,Breeze,8.37
2021,Michigan,Baltimore,Humidity,Storm,9.04
2021,Michigan,Baltimore,Wind,Calm,11.34
2021,Michigan,Baltimore,Humidity,Medium,12.48
2021,Michigan,Baltimore,Wind,High,13.8
2021,Michigan,Baltimore,Humidity,Breeze,14.41
2016,Maryland,Flint,Wind,Breeze,15.4
2016,Maryland,Flint,Humidity,Storm,16.85
2016,Maryland,Flint,Wind,Calm,17.24
2016,Maryland,Flint,Humidity,Medium,18.69
2016,Maryland,Flint,Wind,High,19.98
2016,Maryland,Flint,Humidity,Breeze,20.73
2017,Michigan,Port Huron,Wind,Breeze,21.72
2017,Michigan,Port Huron,Humidity,Storm,19.37
2017,Michigan,Port Huron,Wind,Calm,20.43
2017,Michigan,Port Huron,Humidity,Medium,24.0
2017,Michigan,Port Huron,Wind,High,24.48
2017,Michigan,Port Huron,Humidity,Breeze,19.07
2021,Maryland,Detroit,Wind,Breeze,19.3
2021,Maryland,Detroit,Humidity,Storm,23.26
2021,Maryland,Detroit,Wind,Calm,20.7
2021,Maryland,Detroit,Humidity,Medium,9.46
2021,Maryland,Detroit,Wind,High,18.62
2021,Maryland,Detroit,Humidity,Breeze,7.13
