Quarter,Month,Culture_Administration,Culture_House,Culture_Museum,Residential_Concert,Residential_Hotel,Residential_Library,Service_Apartment,Service_Theatre,Minimum
Q1,,94.68,10.30,55.96,45.23,0.52,80.86,32.04,71.22,0.52
,  August,98.85,23.01,67.59,52.00,7.28,91.57,47.46,76.84,7.28
,  February,94.68,10.30,55.96,48.17,0.52,80.86,32.04,71.22,0.52
,  March,98.94,16.04,64.76,45.23,5.81,83.51,45.26,73.68,5.81
Q3,,95.34,15.37,62.66,45.05,1.14,81.13,43.39,71.20,1.14
,  February,98.06,28.84,70.30,52.08,10.18,91.14,48.60,77.27,10.18
,  January,95.34,15.37,62.66,45.05,1.14,81.13,43.39,71.20,1.14
,  September,99.65,18.62,66.98,52.90,7.74,84.97,46.43,74.70,7.74
Minimum,,94.68,10.30,55.96,45.05,0.52,80.86,32.04,71.20,0.52
,  ,94.68,10.30,55.96,45.05,0.52,80.86,32.04,71.20,0.52
