Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Medium,0.34
2017,Wind,Low,1.38
2017,Temperature,High,0.58
2017,Humidity,Storm,1.01
2017,Wind,Calm,2.38
2017,Temperature,21-30,4.27
2017,Humidity,0-10,6.52
2017,Wind,31-40,6.15
2017,Temperature,Medium,8.05
2020,Humidity,Medium,9.38
2020,Wind,Low,10.4
2020,Temperature,High,11.27
2020,Humidity,Storm,12.24
2020,Wind,Calm,13.97
2020,Temperature,21-30,12.33
2020,Humidity,0-10,16.61
2020,Wind,31-40,18.66
2020,Temperature,Medium,19.33
2022,Humidity,Medium,19.58
2022,Wind,Low,18.38
2022,Temperature,High,18.13
2022,Humidity,Storm,23.23
2022,Wind,Calm,21.05
2022,Temperature,21-30,26.73
2022,Humidity,0-10,26.13
2022,Wind,31-40,27.52
2022,Temperature,Medium,0.16
